Date,Store_Number,Hour,Total_Sales,Customer_Count
2026-05-03,102382,12:00 AM,158.94,8
2026-05-03,102382,12:30 AM,165.97,8
2026-05-03,102382,1:00 AM,249.05,18
2026-05-03,102382,1:30 AM,192.49,8
2026-05-03,102382,2:30 AM,66.75,7
2026-05-03,102382,5:00 AM,58.42,5
2026-05-03,102382,5:30 AM,121.77,7
2026-05-03,102382,6:00 AM,232.01,6
2026-05-03,102382,6:30 AM,231.15,8
2026-05-03,102382,7:00 AM,581.98,16
2026-05-03,102382,7:30 AM,355.87,18
2026-05-03,102382,8:00 AM,631.50,21
2026-05-03,102382,8:30 AM,563.84,25
2026-05-03,102382,9:00 AM,636.88,29
2026-05-03,102382,9:30 AM,337.15,23
2026-05-03,102382,10:00 AM,860.50,35
2026-05-03,102382,10:30 AM,879.18,32
2026-05-03,102382,11:00 AM,1019.46,33
2026-05-03,102382,11:30 AM,1605.82,54
2026-05-03,102382,12:00 PM,1852.63,51
2026-05-03,102382,12:30 PM,1258.06,57
2026-05-03,102382,1:00 PM,1348.33,54
2026-05-03,102382,1:30 PM,1536.81,44
2026-05-03,102382,2:00 PM,893.24,36
2026-05-03,102382,2:30 PM,1181.43,52
2026-05-03,102382,3:00 PM,971.83,34
2026-05-03,102382,3:30 PM,1289.79,56
2026-05-03,102382,4:00 PM,1431.80,45
2026-05-03,102382,4:30 PM,920.68,41
2026-05-03,102382,5:00 PM,900.20,31
2026-05-03,102382,5:30 PM,923.44,34
2026-05-03,102382,6:00 PM,1330.07,46
2026-05-03,102382,6:30 PM,702.98,26
2026-05-03,102382,7:00 PM,594.95,33
2026-05-03,102382,7:30 PM,866.92,37
2026-05-03,102382,8:00 PM,873.08,27
2026-05-03,102382,8:30 PM,698.56,24
2026-05-03,102382,9:00 PM,582.94,24
2026-05-03,102382,9:30 PM,273.73,17
2026-05-03,102382,10:00 PM,332.95,20
2026-05-03,102382,10:30 PM,408.45,13
2026-05-03,102382,11:00 PM,475.40,18
2026-05-03,102382,11:30 PM,66.28,8
2026-05-03,102382,7:30 AM,169.59,1
2026-05-03,102382,8:30 AM,328.06,7
2026-05-03,102382,9:00 AM,345.65,10
2026-05-03,102382,10:00 AM,508.41,12
2026-05-03,102382,10:30 AM,513.23,11
2026-05-03,102382,11:00 AM,735.65,15
2026-05-03,102382,11:30 AM,1007.81,20
2026-05-03,102382,12:00 PM,1167.58,21
2026-05-03,102382,12:30 PM,640.61,16
2026-05-03,102382,1:00 PM,715.90,16
2026-05-03,102382,1:30 PM,1069.92,19
2026-05-03,102382,2:00 PM,549.24,13
2026-05-03,102382,2:30 PM,654.74,19
2026-05-03,102382,3:00 PM,505.06,9
2026-05-03,102382,3:30 PM,792.27,17
2026-05-03,102382,4:00 PM,856.70,13
2026-05-03,102382,4:30 PM,421.19,14
2026-05-03,102382,5:00 PM,516.14,10
2026-05-03,102382,5:30 PM,498.63,8
2026-05-03,102382,6:00 PM,874.56,18
2026-05-03,102382,6:30 PM,468.14,7
2026-05-03,102382,7:00 PM,272.53,6
2026-05-03,102382,7:30 PM,510.36,12
2026-05-03,102382,8:00 PM,602.29,11
2026-05-03,102382,8:30 PM,437.20,8
2026-05-03,102382,12:00 AM,113.51,6
2026-05-03,102382,12:30 AM,104.83,6
2026-05-03,102382,1:00 AM,249.05,18
2026-05-03,102382,1:30 AM,133.72,6
2026-05-03,102382,2:00 AM,56.53,5
2026-05-03,102382,2:30 AM,66.75,7
2026-05-03,102382,6:30 AM,93.11,6
2026-05-03,102382,7:00 AM,142.19,11
2026-05-03,102382,7:30 AM,186.28,15
2026-05-03,102382,8:00 AM,219.57,16
2026-05-03,102382,8:30 AM,235.78,18
2026-05-03,102382,9:00 AM,291.23,19
2026-05-03,102382,9:30 AM,256.37,21
2026-05-03,102382,10:00 AM,352.09,23
2026-05-03,102382,10:30 AM,365.95,21
2026-05-03,102382,11:00 AM,283.81,18
2026-05-03,102382,11:30 AM,598.01,34
2026-05-03,102382,12:00 PM,685.05,30
2026-05-03,102382,12:30 PM,617.45,41
2026-05-03,102382,1:00 PM,632.43,38
2026-05-03,102382,1:30 PM,466.89,25
2026-05-03,102382,2:00 PM,344.00,23
2026-05-03,102382,2:30 PM,526.69,33
2026-05-03,102382,3:00 PM,466.77,25
2026-05-03,102382,3:30 PM,497.52,39
2026-05-03,102382,4:00 PM,575.10,32
2026-05-03,102382,4:30 PM,499.49,27
2026-05-03,102382,5:00 PM,384.06,21
2026-05-03,102382,5:30 PM,424.81,26
2026-05-03,102382,6:00 PM,455.51,28
2026-05-03,102382,6:30 PM,234.84,19
2026-05-03,102382,7:00 PM,322.42,27
2026-05-03,102382,7:30 PM,356.56,25
2026-05-03,102382,8:00 PM,270.79,16
2026-05-03,102382,8:30 PM,261.36,16
2026-05-03,102382,9:00 PM,333.75,19
2026-05-03,102382,9:30 PM,183.83,16
2026-05-03,102382,10:00 PM,196.77,17
2026-05-03,102382,10:30 PM,82.01,8
2026-05-03,102382,11:00 PM,272.64,16
2026-05-03,102382,11:30 PM,66.28,8
2026-05-03,102382,12:00 AM,45.43,2
2026-05-03,102382,12:30 AM,61.14,2
2026-05-03,102382,1:00 AM,0.00,0
2026-05-03,102382,1:30 AM,58.77,2
2026-05-03,102382,2:00 AM,0.00,0
2026-05-03,102382,2:30 AM,0.00,0
2026-05-03,102382,3:00 AM,0.00,0
2026-05-03,102382,3:30 AM,0.00,0
2026-05-03,102382,4:00 AM,0.00,0
2026-05-03,102382,4:30 AM,69.01,1
2026-05-03,102382,5:00 AM,0.00,0
2026-05-03,102382,5:30 AM,65.05,2
2026-05-03,102382,6:00 AM,166.36,2
2026-05-03,102382,6:30 AM,138.04,2
2026-05-03,102382,7:00 AM,439.79,5
2026-05-03,102382,7:30 AM,169.59,3
